,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
1051,Intex Aqua Viturbo,Intex,Aqua Viturbo,2000,4.00,No,480,800,4,512,4.000,5.00,0.30,Android,Yes,Yes,No,1,No,No,4999
1052,Lyf Wind 7,Lyf,Wind 7,2250,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7499
1053,Lyf Flame 7,Lyf,Flame 7,1750,4.00,Yes,480,800,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,2499
1054,Intex Aqua Music,Intex,Aqua Music,3400,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6999
1055,Asus ZenFone Go (ZB450KL),Asus,ZenFone Go (ZB450KL),2070,4.50,Yes,480,854,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
1056,Lyf Flame 8,Lyf,Flame 8,2000,4.50,Yes,480,854,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,2545
1057,Lyf Wind 3,Lyf,Wind 3,2920,5.50,Yes,720,1280,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1058,Micromax Unite 4 Plus,Micromax,Unite 4 Plus,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7998
1059,Swipe Konnect Plus,Swipe,Konnect Plus,3000,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,2990
1060,Lava X38,Lava,X38,4000,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,6199
1061,Lyf Wind 2,Lyf,Wind 2,2850,6.00,Yes,720,1280,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4995
1062,Intex Aqua Strong 5.1,Intex,Aqua Strong 5.1,2800,5.00,Yes,480,854,1,1000,8.000,5.00,2.00,Android,No,Yes,Yes,2,Yes,Yes,4600
1063,Lenovo Vibe K5 Note,Lenovo,Vibe K5 Note,3500,5.50,Yes,1080,1920,8,3000,32.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,7990
1064,Panasonic Eluga Arc 2,Panasonic,Eluga Arc 2,2450,5.00,Yes,720,1280,4,3000,32.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5599
1065,Panasonic T44 Lite,Panasonic,T44 Lite,2400,4.00,Yes,800,480,4,512,8.000,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,2190
1066,Intex Cloud String v2.0,Intex,Cloud String v2.0,2200,5.00,Yes,1280,720,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,1,Yes,No,6499
1067,Lyf Water 8,Lyf,Water 8,2600,5.00,Yes,720,1280,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7900
1068,Karbonn Fashion Eye,Karbonn,Fashion Eye,2000,5.00,No,1280,720,4,1000,8.000,8.00,3.20,Android,Yes,Yes,No,2,Yes,No,3279
1069,Samsung Galaxy J2 Pro,Samsung,Galaxy J2 Pro,2600,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,10480
1070,InFocus M535+,InFocus,M535+,2600,5.50,Yes,1080,1920,8,3000,16.000,13.00,13.00,Android,Yes,Yes,Yes,2,Yes,Yes,6000
1071,Intex Aqua Ring,Intex,Aqua Ring,2450,5.00,Yes,720,1280,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,4997
1072,Lava A32,Lava,A32,1500,4.00,Yes,480,800,1,256,0.512,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,1999
1073,Lava A68,Lava,A68,1750,4.50,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,6999
1074,Intex Aqua Q7N,Intex,Aqua Q7N,2000,4.50,Yes,480,854,4,512,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2488
1075,Intex Aqua Pride,Intex,Aqua Pride,2800,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3887
1076,Lava X17,Lava,X17,2350,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6600
1077,Lyf Water 4,Lyf,Water 4,2920,5.00,Yes,720,1280,1,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1078,Asus ZenFone 3 Max (ZC520TL),Asus,ZenFone 3 Max (ZC520TL),4100,5.20,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,13990
1079,Karbonn Aura Power,Karbonn,Aura Power,4000,5.00,Yes,480,854,1,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3299
1080,Samsung Galaxy On7 Pro,Samsung,Galaxy On7 Pro,3000,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5990
1081,Samsung Galaxy On5 Pro,Samsung,Galaxy On5 Pro,2600,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6480
1082,Samsung Galaxy J2 (2016),Samsung,Galaxy J2 (2016),2600,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,5990
1083,Intex Aqua Power 4G,Intex,Aqua Power 4G,3800,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4995
1084,Nubia N1,Nubia,N1,5000,5.50,Yes,1080,1920,8,3000,32.000,13.00,13.00,Android,Yes,Yes,Yes,2,Yes,Yes,11999
1085,Panasonic Eluga Note,Panasonic,Eluga Note,3000,5.50,Yes,1080,1920,8,3000,32.000,16.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,10990
1086,TCL 560,TCL,560,2500,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4989
1087,Karbonn A91 Storm,Karbonn,A91 Storm,2200,4.00,Yes,480,800,4,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,1999
1088,Vivo X7,Vivo,X7,3000,5.20,Yes,1080,1920,8,4000,64.000,13.00,16.00,Android,Yes,Yes,Yes,2,Yes,Yes,9999
1089,iBall Andi 5G Blink 4G,iBall,Andi 5G Blink 4G,2300,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4890
1090,Nubia Z11,Nubia,Z11,3000,5.50,Yes,1080,1920,4,6000,64.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,20999
1091,Lyf Earth 2,Lyf,Earth 2,2500,5.00,Yes,1080,1920,8,3000,32.000,13.00,13.00,Android,Yes,Yes,Yes,2,Yes,Yes,6990
1092,Intex Aqua Classic,Intex,Aqua Classic,2100,5.00,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4790
1093,Micromax Canvas Fire 5,Micromax,Canvas Fire 5,2500,5.50,Yes,720,1280,4,1000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,7389
1094,Oppo A37,Oppo,A37,2630,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8666
1095,Intex Aqua Sense 5.1,Intex,Aqua Sense 5.1,2500,5.00,Yes,480,854,4,512,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2658
1096,Panasonic P75,Panasonic,P75,5000,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,5499
1097,Xiaomi Redmi 3S,Xiaomi,Redmi 3S,4100,5.00,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6500
1098,Intex Aqua View,Intex,Aqua View,2200,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4899
1099,Lyf Water 7,Lyf,Water 7,3000,5.50,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,494
1100,Lyf Wind 1,Lyf,Wind 1,2300,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7000
1101,Panasonic T44,Panasonic,T44,2400,4.00,Yes,480,800,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3590
1102,Panasonic T30,Panasonic,T30,1400,4.00,Yes,480,800,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2488
1103,Lenovo Phab 2,Lenovo,Phab 2,4050,6.40,Yes,720,1280,4,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,8999
1104,Lenovo Phab 2 Pro,Lenovo,Phab 2 Pro,4050,6.40,Yes,1440,2560,8,4000,64.000,16.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,22999
1105,Lava X81,Lava,X81,2700,5.00,Yes,720,1280,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1106,Lyf Wind 5,Lyf,Wind 5,2000,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8399
1107,Lava X46,Lava,X46,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9700
1108,Intex Cloud Glory 4G,Intex,Cloud Glory 4G,1800,4.50,Yes,480,584,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4499
1109,Samsung Galaxy J3 Pro,Samsung,Galaxy J3 Pro,2600,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8299
1110,Lyf Flame 6,Lyf,Flame 6,1750,4.00,Yes,480,800,4,512,4.000,2.00,2.00,Android,Yes,Yes,No,2,Yes,Yes,1999
1111,Swipe Elite Plus,Swipe,Elite Plus,3050,5.00,Yes,1080,1920,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,2999
1112,Lava A82,Lava,A82,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,8999
1113,Intex Aqua Shine 4G,Intex,Aqua Shine 4G,3000,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4500
1114,LG Stylus 2 Plus,LG,Stylus 2 Plus,3000,5.70,Yes,1080,1920,8,3000,16.000,16.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,8999
1115,LG X Power,LG,X Power,4100,5.30,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6999
1116,Lyf Flame 4,Lyf,Flame 4,1400,4.00,Yes,480,800,4,512,8.000,2.00,0.30,Android,Yes,Yes,No,2,Yes,Yes,4199
1117,Zen Admire SXY,Zen,Admire SXY,1800,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2639
1118,Lava A59,Lava,A59,1750,4.50,Yes,480,800,4,512,4.000,5.00,0.30,Android,Yes,Yes,No,2,Yes,No,4199
1119,Lava A48,Lava,A48,1300,4.00,Yes,480,800,4,512,4.000,2.00,0.30,Android,Yes,Yes,No,2,Yes,No,2399
1120,Panasonic Eluga A2,Panasonic,Eluga A2,4000,5.00,Yes,720,1280,4,3000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5430
1121,Lava A79,Lava,A79,2200,5.50,Yes,480,800,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4200
1122,Micromax Canvas Selfie 4,Micromax,Canvas Selfie 4,2500,5.00,Yes,720,1280,4,1000,8.000,8.00,8.00,Android,Yes,Yes,Yes,2,Yes,No,5970
1123,Micromax Bolt Selfie,Micromax,Bolt Selfie,1750,4.50,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4299
1124,Intex Cloud String HD,Intex,Cloud String HD,2200,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1125,Intex Aqua Secure,Intex,Aqua Secure,1900,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4866
1126,Motorola Moto G4 Play,Motorola,Moto G4 Play,2800,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6990
1127,Sony Xperia XA Ultra,Sony,Xperia XA Ultra,2700,6.00,Yes,1080,1920,8,3000,16.000,21.50,16.00,Android,Yes,Yes,Yes,1,Yes,Yes,7999
1128,Lenovo Vibe C,Lenovo,Vibe C,2300,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,1,Yes,Yes,4500
1129,HTC Desire 628 Dual SIM,HTC,Desire 628 Dual SIM,2200,5.00,Yes,720,1280,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6498
1130,Lyf Wind 4,Lyf,Wind 4,4000,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,5999
1131,Lyf Flame 2,Lyf,Flame 2,1500,4.00,Yes,480,800,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3599
1132,Lava A67,Lava,A67,2000,5.00,Yes,480,800,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3399
1133,Micromax Canvas XP 4G,Micromax,Canvas XP 4G,2000,5.00,Yes,720,1280,4,3000,16.000,8.00,2.00,Android,No,No,No,2,Yes,Yes,4595
1134,Intex Cloud Fame,Intex,Cloud Fame,1800,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,No,2,Yes,Yes,3949
1135,Intex Aqua Joy,Intex,Aqua Joy,1450,4.00,Yes,480,800,4,512,4.000,0.30,0.30,Android,Yes,Yes,Yes,2,Yes,No,2666
1136,HTC Desire 830,HTC,Desire 830,2800,5.50,Yes,1080,1920,8,3000,32.000,13.00,4.00,Android,Yes,Yes,No,1,Yes,Yes,7999
1137,Micromax Canvas Mega 2,Micromax,Canvas Mega 2,3000,6.00,Yes,540,960,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7530
1138,iBall Andi 5N Dude,iBall,Andi 5N Dude,2000,5.00,Yes,480,854,4,512,4.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,1999
1139,Honor 5C,Honor,5C,3000,5.20,Yes,1080,1920,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,No,9999
1140,Panasonic Eluga I3,Panasonic,Eluga I3,2700,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5549
1141,Swipe Elite Note,Swipe,Elite Note,3000,5.50,Yes,720,1280,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7500
1142,Asus ZenFone Go 4.5 (ZB452KG),Asus,ZenFone Go 4.5 (ZB452KG),2070,4.50,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3999
1143,Intex Aqua 4.5 Pro,Intex,Aqua 4.5 Pro,1500,4.50,Yes,480,854,4,1000,8.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,4750
1144,ZTE Blade A910,ZTE,Blade A910,2540,5.50,Yes,720,1280,4,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1145,ZTE Blade V7 Max,ZTE,Blade V7 Max,3000,5.50,Yes,1080,1920,8,3000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,4500
1146,LeEco Le 2 Pro,LeEco,Le 2 Pro,3000,5.50,Yes,1080,1920,10,4000,32.000,21.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,5890
1147,Nubia Z11 mini,Nubia,Z11 mini,2800,5.00,Yes,1080,1920,8,3000,64.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,9999
1148,Gionee Pioneer P5W,Gionee,Pioneer P5W,2000,5.00,Yes,720,1280,4,1000,16.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4800
1149,Yu Yureka Note,Yu,reka Note,4000,6.00,Yes,1080,1920,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6499
1150,Videocon Krypton V50DA,Videocon,Krypton V50DA,3000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4006
1151,HTC 10 Lifestyle,HTC,10 Lifestyle,3000,5.20,Yes,1440,2560,8,3000,32.000,12.00,5.00,Android,Yes,Yes,Yes,1,Yes,Yes,9751
1152,Meizu m3 note,Meizu,m3 note,4100,5.50,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,No,2,Yes,Yes,5290
1153,Reach Opulent,Reach,Opulent,2500,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2690
1154,Asus Zenfone Go 5.0 LTE,Asus,Zenfone Go 5.0 LTE,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4990
1155,Gionee Pioneer P5 mini,Gionee,Pioneer P5 mini,1850,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4999
1156,Samsung Galaxy A9 Pro,Samsung,Galaxy A9 Pro,5000,6.00,Yes,1080,1920,8,4000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,19980
1157,Intex Cloud Gem+,Intex,Cloud Gem+,1400,4.00,Yes,480,800,4,512,4.000,2.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2199
1158,Samsung Galaxy J7 (2016),Samsung,Galaxy J7 (2016),3300,5.50,Yes,720,1080,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,13450
1159,Samsung Galaxy J5 (2016),Samsung,Galaxy J5 (2016),3100,5.20,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9999
1160,Vivo Y31L,Vivo,Y31L,2200,4.70,Yes,540,960,4,1000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8599
1161,Reach Cogent,Reach,Cogent,2000,4.00,Yes,480,800,4,1000,8.000,3.20,1.30,Android,Yes,Yes,No,2,Yes,No,2200
1162,Lava V2s,Lava,V2s,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,4500
1163,Videocon Krypton V50FG,Videocon,Krypton V50FG,2200,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6600
1164,Lava A52,Lava,A52,1200,4.00,Yes,480,800,2,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,1999
1165,Intex Cloud Force,Intex,Cloud Force,2500,5.00,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3333
1166,Intex Aqua 4G Strong,Intex,Aqua 4G Strong,1700,4.00,Yes,480,800,4,768,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,Yes,Yes,6500
1167,Lava Flair S1,Lava,Flair S1,1750,4.50,Yes,480,854,2,512,8.000,3.20,0.30,Android,Yes,Yes,Yes,2,Yes,No,1999
1168,InFocus Bingo 20 (M425),InFocus,Bingo 20 (M425),2300,4.50,Yes,850,480,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4490
1169,Panasonic T50,Panasonic,T50,1600,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,6760
1170,Intex Aqua Twist,Intex,Aqua Twist,2200,5.00,Yes,480,854,4,1000,8.000,5.00,0.00,Android,Yes,Yes,Yes,2,Yes,No,3499
1171,mPhone 8,mPhone,8,3050,5.50,Yes,1080,1920,8,4000,64.000,21.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,6499
1172,mPhone 7 Plus,mPhone,7 Plus,2600,5.50,Yes,1080,1920,8,3000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,7399
1173,Intex Cloud Breeze,Intex,Cloud Breeze,2300,5.00,Yes,480,854,2,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1174,Lyf Wind 6,Lyf,Wind 6,2250,5.00,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3499
1175,Blu Life Mark,Blu,Life Mark,2300,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7999
1176,Zopo Speed 8,Zopo,Speed 8,3600,5.50,Yes,1080,1920,10,4000,32.000,21.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,9980
1177,Xolo Era X,Xolo,Era X,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4559
1178,Intex Aqua Fish,Intex,Aqua Fish,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,2.00,Sailfish,Yes,Yes,Yes,2,Yes,Yes,4799
1179,ZTE Blade V7 Lite,ZTE,Blade V7 Lite,2500,5.00,Yes,720,1280,4,2000,16.000,8.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,3840
1180,Sony Xperia X,Sony,Xperia X,2620,5.00,Yes,1080,1920,1,3000,32.000,23.00,13.00,Android,Yes,Yes,Yes,1,Yes,Yes,19990
1181,Sony Xperia XA,Sony,Xperia XA,2300,5.00,Yes,720,1280,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,7994
1182,HTC Desire 825,HTC,Desire 825,2700,5.50,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7890
1183,HTC Desire 630,HTC,Desire 630,2200,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,10299
1184,HP Elite x3,HP,Elite x3,4150,5.96,Yes,1440,2560,4,4000,64.000,15.00,8.00,Windows,Yes,Yes,Yes,1,Yes,Yes,88719
1185,Alcatel Idol 4,Alcatel,Idol 4,2610,5.20,Yes,1080,1920,8,3000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,16999
1186,Intex Aqua Ace Mini,Intex,Aqua Ace Mini,3000,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6849
1187,Swipe Konnect 5.1,Swipe,Konnect 5.1,3000,5.00,Yes,480,854,4,1000,8.000,8.00,3.20,Android,Yes,Yes,Yes,2,Yes,No,4099
1188,LG Stylus 2,LG,Stylus 2,3000,5.70,Yes,720,1280,4,1000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,7999
1189,Intex Cloud Crystal 2.5D,Intex,Cloud Crystal 2.5D,2200,5.00,Yes,720,1280,4,3000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,6800
1190,Intex Aqua Freedom,Intex,Aqua Freedom,3000,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3099
1191,Microsoft Lumia 650,Microsoft,Lumia 650,2000,5.00,Yes,720,1280,4,1000,16.000,8.00,5.00,Windows,Yes,Yes,Yes,1,Yes,Yes,9990
1192,LG X cam,LG,X cam,2520,5.20,Yes,1080,1920,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,8000
1193,Intex Aqua Craze,Intex,Aqua Craze,2500,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,2999
1194,Intex Aqua Lite,Intex,Aqua Lite,1400,4.00,Yes,480,800,4,512,4.000,2.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2799
1195,Lava X11,Lava,X11,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7980
1196,Lava A88,Lava,A88,2000,5.00,Yes,720,1280,4,512,4.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4949
1197,Lenovo Vibe P1 Turbo,Lenovo,Vibe P1 Turbo,5000,5.50,Yes,1080,1920,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7679
1198,Lava A71,Lava,A71,2500,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3990
1199,Intex Aqua Wing,Intex,Aqua Wing,1500,4.00,Yes,480,800,1,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,Yes,2990
1200,Intex Aqua Raze,Intex,Aqua Raze,1800,4.50,Yes,480,854,1,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1201,Panasonic P66 Mega,Panasonic,P66 Mega,3200,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,No,Yes,2,Yes,No,5299
1202,Lyf Flame 1,Lyf,Flame 1,2000,4.50,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5499
1203,Lava X3,Lava,X3,2500,5.00,Yes,720,1280,4,2000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,3999
1204,Zopo Hero 1,Zopo,Hero 1,2500,5.00,Yes,720,1280,4,2000,16.000,13.20,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,12000
1205,iBall Cobalt 5.5F Youva,iBall,Cobalt 5.5F Youva,2600,5.50,Yes,720,1280,4,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,7599
1206,Micromax Canvas Juice 4,Micromax,Canvas Juice 4,3000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,3995
1207,Vivo Y51L,Vivo,Y51L,2350,5.00,Yes,540,960,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,9099
1208,Lava V5,Lava,V5,3000,5.50,Yes,720,1280,4,3000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,8250
1209,Lyf Water 2,Lyf,Water 2,2400,5.00,Yes,720,1280,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7750
1210,Lyf Water 1,Lyf,Water 1,2600,5.00,Yes,1080,1920,8,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4800
1211,Lenovo K5 Note,Lenovo,K5 Note,3500,5.50,Yes,1080,1920,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,8990
