,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
935,Micromax Bharat 2,Micromax,Bharat 2,1300,4.00,Yes,480,800,4,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,2,No,Yes,2359
936,Swipe Konnect Neo 4G,Swipe,Konnect Neo 4G,2000,4.00,Yes,480,800,4,512,4.000,5.00,1.30,Android,Yes,Yes,Yes,2,Yes,Yes,1999
937,Itel Wish A41,Itel,Wish A41,2400,5.00,No,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4880
938,Panasonic Eluga Ray X,Panasonic,Eluga Ray X,4000,5.50,Yes,720,1280,4,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5930
939,Panasonic Eluga Ray Max,Panasonic,Eluga Ray Max,3000,5.20,Yes,1080,1920,8,4000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,11499
940,Intex Aqua 4G Mini,Intex,Aqua 4G Mini,1450,4.00,Yes,480,800,4,512,4.000,5.00,1.30,Android,Yes,Yes,No,2,No,Yes,3935
941,Micromax Spark Vdeo,Micromax,Spark Vdeo,1800,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,No,No,4999
942,Zen Admire Swadesh,Zen,Admire Swadesh,2000,5.00,Yes,720,1280,4,1000,8.000,5.00,2.00,Android,Yes,Yes,No,2,Yes,Yes,4790
943,Nubia N2,Nubia,N2,5000,5.50,Yes,1080,1920,8,4000,64.000,13.00,16.00,Android,Yes,Yes,Yes,2,Yes,Yes,9049
944,Nubia M2 Lite,Nubia,M2 Lite,3000,5.50,Yes,720,1280,8,3000,64.000,13.00,16.00,Android,Yes,Yes,Yes,2,Yes,Yes,7160
945,Karbonn Aura Sleek 4G,Karbonn,Aura Sleek 4G,2000,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,1,Yes,Yes,5668
946,Intex Aqua Trend Lite,Intex,Aqua Trend Lite,2600,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,3999
947,Lenovo Vibe B,Lenovo,Vibe B,2000,4.50,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,No,No,6450
